id,categoryname,en,de,fr
1770,Weather,star,der Stern,l'étoile
1771,Weather,storm,das Gewitter,l'orage
1772,Weather,storm surge,die Sturmflut,l'onde de tempête
1773,Weather,sun,die Sonne,le soleil
1774,Weather,sunbeam,der Sonnenstrahl,le rayon de soleil
1775,Weather,sunset,das Abendrot,le crépuscule
1776,Weather,thermometer,das Thermometer,le thermomètre
1777,Weather,thunderstorm,das Unwetter,l'orage
1778,Weather,twilight,die Dämmerung,la tombée de la nuit
1779,Weather,weather,das Wetter,le temps
1780,Weather,wet conditions,die Nässe,l'humidité
1781,Weather,wind,der Wind,le vent
1782,Shopping,bakery,die Bäckerei,la boulangerie
1783,Shopping,bar code,der Strichcode,le code-barres
1784,Shopping,bookshop,die Buchhandlung,la librairie
1785,Shopping,café,das Café,le café
1786,Shopping,drugstore,die Drogerie,la droguerie
1787,Shopping,dry cleaner,die Reinigung,le nettoyage à sec
1788,Shopping,flower shop,der Blumenladen,le fleuriste
1789,Shopping,gift,das Geschenk,le cadeau
1790,Shopping,market,der Markt,le marché
1791,Shopping,market hall,die Markthalle,la halle
1792,Shopping,newspaper stand,der Zeitungskiosk,le kiosque à journaux
1793,Shopping,pharmacy,die Apotheke,la pharmacie
1794,Shopping,post office,das Postamt,le bureau de poste
1795,Shopping,pottery,die Töpferei,la poterie
1796,Shopping,sale,der Verkauf,la vente
1797,Shopping,shop,der Laden,la boutique
1798,Shopping,shopping,der Einkauf,Shopping -
1799,Shopping,shopping bag,die Einkaufstasche,le sac
1800,Shopping,shopping basket,der Einkaufskorb,le panier
1801,Shopping,shopping cart,der Einkaufswagen,le caddie
1802,Shopping,shopping tour,der Einkaufsbummel,le shopping
1803,Architecture,architecture,die Architektur,Architecture -
1804,Architecture,arena,die Arena,l'arène
1805,Architecture,barn,die Scheune,la grange
1806,Architecture,baroque,der Barock,le baroque
1807,Architecture,block,der Baustein,la pierre de construction
1808,Architecture,brick house,das Backsteinhaus,la maison de briques
1809,Architecture,bridge,die Brücke,le pont
1810,Architecture,building,das Gebäude,le bâtiment
1811,Architecture,castle,das Schloss,le château
1812,Architecture,cathedral,die Kathedrale,la cathédrale
1813,Architecture,column,die Säule,la colonne
1814,Architecture,construction site,die Baustelle,le chantier
1815,Architecture,dome,die Kuppel,la coupole
1816,Architecture,facade,die Fassade,la façade
1817,Architecture,football stadium,das Fußballstadion,le stade de football
1818,Architecture,fort,die Burg,le fort
1819,Architecture,gable,der Giebel,le pignon
1820,Architecture,gate,das Tor,la porte de la ville
1821,Architecture,half-timbered house,das Fachwerkhaus,la maison à colombages
1822,Architecture,lighthouse,der Leuchtturm,le phare
1823,Architecture,monument,das Bauwerk,le monument
1824,Architecture,mosque,die Moschee,la mosquée
1825,Architecture,obelisk,der Obelisk,l'obélisque
1826,Architecture,office building,das Bürogebäude,l'immeuble de bureaux
1827,Architecture,roof,das Dach,le toit
1828,Architecture,ruin,die Ruine,la ruine
1829,Architecture,scaffold,das Gerüst,l'échafaudage
1830,Architecture,skyscraper,der Wolkenkratzer,le gratte-ciel
1831,Architecture,suspension bridge,die Hängebrücke,le pont suspendu
1832,Architecture,tile,die Kachel,la céramique
1833,Big animals,alligator,der Alligator,l'alligator
1834,Big animals,antlers,das Geweih,les bois
1835,Big animals,baboon,der Pavian,le babouin
1836,Big animals,bear,der Bär,l'ours
1837,Big animals,buffalo,der Büffel,le buffle
1838,Big animals,camel,das Kamel,le chameau
1839,Big animals,cheetah,der Gepard,le guépard
1840,Big animals,cow,die Kuh,la vache
1841,Big animals,crocodile,das Krokodil,le crocodile
1842,Big animals,dinosaur,der Dinosaurier,le dinosaure
1843,Big animals,donkey,der Esel,l'âne
1844,Big animals,dragon,der Drachen,le dragon
1845,Big animals,elephant,der Elefant,l'éléphant
1846,Big animals,giraffe,die Giraffe,la girafe
1847,Big animals,gorilla,der Gorilla,le gorille
1848,Big animals,hippo,das Nilpferd,l'hippopotame
1849,Big animals,horse,das Pferd,le cheval
1850,Big animals,kangaroo,das Känguru,le kangourou
1851,Big animals,leopard,der Leopard,le léopard
1852,Big animals,lion,der Löwe,le lion
1853,Big animals,llama,das Lama,le lama
1854,Big animals,lynx,der Luchs,le lynx
1855,Big animals,monster,das Monster,le monstre
1856,Big animals,moose,der Elch,l'orignal
1857,Big animals,ostrich,der Strauß,l'autruche
1858,Big animals,panda,der Pandabär,le panda
1859,Big animals,pig,das Schwein,le cochon
1860,Big animals,polar bear,der Eisbär,l'ours polaire
1861,Big animals,puma,der Puma,le puma
1862,Big animals,rhino,das Nashorn,le rhinocéros
1863,Big animals,stag,der Hirsch,le cerf
1864,Big animals,tiger,der Tiger,le tigre
1865,Big animals,walrus,das Walross,le morse
1866,Big animals,wild horse,das Wildpferd,le cheval sauvage
1867,Big animals,zebra,das Zebra,le zèbre
1868,Small animals,ant,die Ameise,la fourmi
1869,Small animals,beetle,der Käfer,le scarabée
1870,Small animals,bird,der Vogel,l'oiseau
1871,Small animals,birdcage,der Vogelkäfig,la cage à oiseaux
1872,Small animals,birdhouse,das Vogelhaus,le nichoir
1873,Small animals,bumblebee,die Hummel,le bourdon
1874,Small animals,butterfly,der Schmetterling,le papillon
1875,Small animals,caterpillar,die Raupe,la chenille
1876,Small animals,centipede,der Tausendfüßler,le mille-pattes
1877,Small animals,crab,die Krabbe,le crabe
1878,Small animals,fly,die Fliege,la mouche
1879,Small animals,frog,der Frosch,la grenouille
1880,Small animals,goldfish,der Goldfisch,le poisson rouge
1881,Small animals,grasshopper,die Heuschrecke,la sauterelle
1882,Small animals,guinea pig,das Meerschweinchen,le cochon d'Inde
1883,Small animals,hamster,der Hamster,le hamster
1884,Small animals,hedgehog,der Igel,le hérisson
1885,Small animals,hummingbird,der Kolibri,le colibri
1886,Small animals,iguana,der Leguan,l'iguane
1887,Small animals,insect,das Insekt,l'insecte
1888,Small animals,jellyfish,die Qualle,la méduse
1889,Small animals,kitten,das Kätzchen,le chaton
1890,Small animals,ladybug,der Marienkäfer,la coccinelle
1891,Small animals,lizard,die Eidechse,le lézard
1892,Small animals,louse,die Laus,le puceron
1893,Small animals,marmot,das Murmeltier,la marmotte
1894,Small animals,mosquito,die Mücke,le moustique
1895,Small animals,mouse,die Maus,la souris
1896,Small animals,oyster,die Auster,l'huître
1897,Small animals,scorpion,der Skorpion,le scorpion
1898,Small animals,seahorse,das Seepferdchen,l'hippocampe
1899,Small animals,shell,die Muschel,la coquille
1900,Small animals,shrimp,die Garnele,la crevette
1901,Small animals,spider,die Spinne,l'araignée
1902,Small animals,spider web,das Spinnennetz,la toile d'araignée
1903,Small animals,starfish,der Seestern,l'étoile de mer
1904,Small animals,wasp,die Wespe,la guêpe
1966,Colors,black,schwarz,noir
1974,Colors,blue,blau,bleu
1982,Colors,brown,braun,marron
1990,Colors,gray,grau,gris
1998,Colors,green,Grün,vert
2006,Colors,net,Netz,net
2014,Colors,network,Netzwerk,réseau
2022,Colors,orange,Orange,Orange
2030,Colors,pink,Rosa,rose
2038,Colors,purple,lila,violet
2046,Colors,red,rot,rouge
2054,Colors,white,Weiß,blanc
2062,Colors,yellow,Gelb,jaune
2598,WHQuestions,how,Wie,Comment
2606,WHQuestions,what,Was,quelle
2614,WHQuestions,when,wann,quand
2622,WHQuestions,where,woher,où
2630,WHQuestions,which,welche,lequel
2638,WHQuestions,who,Wer,qui
2646,WHQuestions,whose,deren,dont
2663,Numbers,one,eins,un
2671,Numbers,two,zwei,deux
2679,Numbers,three,drei,Trois
2687,Numbers,four,vier,quatre
2695,Numbers,five,fünf,cinq
2703,Numbers,six,sechs,six
2711,Numbers,seven,Sieben,Sept
2719,Numbers,eight,acht,huit
2727,Numbers,nine,neun,neuf
2735,Numbers,ten,zehn,Dix
2743,Numbers,twenty,zwanzig,vingt
2751,Numbers,thirty,dreißig,30
2759,Numbers,forty,vierzig,quarante
2767,Numbers,fifty,fünfzig,cinquante
2775,Numbers,sixty,sechzig,soixante
2783,Numbers,seventy,siebzig,Soixante-dix
2791,Numbers,eighty,achtzig,quatre-vingts
2799,Numbers,ninety,neunzig,quatre vingt dix
2807,Numbers,hundred,hundert,cent
2815,Numbers,thousand,tausend,mille
2823,Numbers,ten thousand,zehntausend,dix mille
2831,Numbers,million,Million,million
2839,Numbers,billion,Milliarde,milliard
2847,Numbers,trillion,Billion,billion
2856,Pronouns,i,ich,je
2862,Pronouns,you,Sie,toi/vous
2868,Pronouns,he,er,il
2874,Pronouns,she,sie,elle
2880,Pronouns,it,es,il
2886,Pronouns,we,,nous
2892,Pronouns,they,sie,ils/elles
2898,Pronouns,us,uns,nous
2904,Pronouns,our,unser,notre
2910,Pronouns,my,meine,mon
2916,Pronouns,me,mich,moi
2922,Pronouns,his,seine,son
2928,Pronouns,her,ihr,sa
2934,Pronouns,everyone,jeder,tout le monde
2968,Months,January,Januar,janvier
2976,Months,February,Februar,février
2984,Months,march,März,Mars
2992,Months,April,April,avril
3000,Months,may,kann,mai
3008,Months,June,Juni,juin
3016,Months,July,Juli,juillet
3024,Months,August,August,août
3032,Months,September,September,septembre
3040,Months,October,Oktober,octobre
3048,Months,November,November,novembre
3056,Months,December,Dezember,décembre
3064,DaysOfWeek,Monday,Montag,Lundi
3072,DaysOfWeek,Tuesday,Dienstag,Mardi
3080,DaysOfWeek,Wednesday,Mittwoch,Mercredi
3088,DaysOfWeek,Thursday,Donnerstag,Jeudi
3096,DaysOfWeek,Friday,Freitag,Vendredi
3104,DaysOfWeek,Saturday,Samstag,samedi
3112,DaysOfWeek,Sunday,Sonntag,dimanche
3122,TimeClock,minute,Minute,minute
3130,TimeClock,second,zweite,seconde
3138,TimeClock,millisecond,Millisekunde,Milliseconde
3146,TimeClock,half-hour,halbe Stunde,demi-heure
3154,TimeClock,one o''clock,Ein Uhr,une heure
3162,TimeClock,two o''clock,zwei Uhr,deux heures
3170,TimeClock,three o''clock,drei Uhr,trois heures
3178,TimeClock,four o''clock,vier Uhr,Quatre heures
3186,TimeClock,five o''clock,Fünf Uhr,Cinq heures
3194,TimeClock,six o''clock,sechs Uhr,six heures
3202,TimeClock,seven o''clock,sieben Uhr,Sept heures
3210,TimeClock,eight o''clock,acht Uhr,huit heures
3218,TimeClock,nine o''clock,neun Uhr,neuf heures
3226,TimeClock,ten o''clock,zehn Uhr,dix heures
3234,TimeClock,eleven o''clock,elf Uhr,onze heures
3240,TimeClock,twelve o''clock,Zwölf uhr,douze heures
3279,BasicVerbs,be,Sein,être
3287,BasicVerbs,have,haben,avoir
3295,BasicVerbs,do,machen,faire
3303,BasicVerbs,say,sagen,dire
3311,BasicVerbs,go,gehen,aller
3319,BasicVerbs,can,kann,pouvez
3327,BasicVerbs,get,bekommen,Obtenez
3335,BasicVerbs,make,machen,faire
3343,BasicVerbs,know,kennt,connaître
3351,BasicVerbs,will,werden,volonté
3359,BasicVerbs,think,denken,penser
3367,BasicVerbs,take,nehmen,prendre
3375,BasicVerbs,see,sehen,voir
3383,BasicVerbs,come,kommen,viens
3391,BasicVerbs,want,wollen,vouloir
3399,BasicVerbs,look,Schau,Regarde
3407,BasicVerbs,use,benutzen,utilisation
3415,BasicVerbs,find,finden,trouver
3423,BasicVerbs,give,geben,donner
3431,BasicVerbs,tell,sagen,dire
3439,BasicVerbs,work,Arbeit,travail
3447,BasicVerbs,may,kann,mai
3455,BasicVerbs,should,sollte,devrait
3463,BasicVerbs,call,Anruf,appel
3471,BasicVerbs,try,Versuchen,Essai
3479,BasicVerbs,ask,Fragen,demander
3487,BasicVerbs,need,brauchen,avoir besoin
3495,BasicVerbs,feel,fühlen,ressentir
3503,BasicVerbs,become,werden,devenir
3511,BasicVerbs,leave,verlassen,laisser
3519,BasicVerbs,put,stellen,mettre
3527,BasicVerbs,mean,bedeuten,signifier
3535,BasicVerbs,keep,behalten,garder
3543,BasicVerbs,let,Lassen,laisser
3551,BasicVerbs,begin,Start,commencer
3559,BasicVerbs,seem,scheinen,sembler
3567,BasicVerbs,help,Hilfe,Aidez-moi
3575,BasicVerbs,talk,sich unterhalten,parler
3583,BasicVerbs,turn,Wende,tour
3591,BasicVerbs,start,Anfang,Démarrer
3599,BasicVerbs,show,Show,montrer
3607,BasicVerbs,hear,hören,entendre
3615,BasicVerbs,play,spielen,jouer
3623,BasicVerbs,run,Lauf,courir
3631,BasicVerbs,move,Bewegung,Déplacer
3639,BasicVerbs,like,mögen,comme
3647,BasicVerbs,live,Leben,vivre
3655,BasicVerbs,believe,glauben,croyez
3663,BasicVerbs,hold,halten,tenir
3671,BasicVerbs,bring,bringen,apporter
3679,BasicVerbs,happen,geschehen,se produire
3687,BasicVerbs,must,sollen,doit
3695,BasicVerbs,write,schreiben,écrire
3703,BasicVerbs,provide,zu Verfügung stellen,fournir
3711,BasicVerbs,sit,sitzen,siéger
3719,BasicVerbs,stand,Stand,supporter
3727,BasicVerbs,lose,verlieren,perdre
3735,BasicVerbs,pay,bezahlen,Payer
3743,BasicVerbs,meet,treffen,rencontrer
3751,BasicVerbs,include,einschließen,comprendre
3759,BasicVerbs,continue,fortsetzen,continuer
3767,BasicVerbs,set,Set,ensemble
3775,BasicVerbs,learn,lernen,apprendre
3783,BasicVerbs,change,Veränderung,changement
3791,BasicVerbs,lead,führen,conduire
3799,BasicVerbs,understand,verstehen,comprendre
3807,BasicVerbs,watch,Uhr,regarder
3815,BasicVerbs,follow,Folgen,suivre
3823,BasicVerbs,stop,halt,Arrêtez
3831,BasicVerbs,create,erstellen,Créer
3839,BasicVerbs,speak,sprechen,parler
3847,BasicVerbs,read,lesen,lire
3855,BasicVerbs,allow,zulassen,permettre
3863,BasicVerbs,add,hinzufügen,ajouter
3871,BasicVerbs,spend,verbringen,dépenser
3879,BasicVerbs,grow,größer werden,croître
3887,BasicVerbs,open,öffnen,Ouvert
3895,BasicVerbs,walk,gehen,marche
3903,BasicVerbs,win,gewinnen,gagner
3911,BasicVerbs,offer,Angebot,offre
3919,BasicVerbs,remember,merken,rappelles toi
3927,BasicVerbs,love,Liebe,amour
3935,BasicVerbs,consider,Erwägen,considérer
3943,BasicVerbs,appear,erscheinen,apparaître
3951,BasicVerbs,buy,kaufen,Acheter
3959,BasicVerbs,wait,warte ab,attendez
3967,BasicVerbs,serve,dienen,servir
3975,BasicVerbs,die,sterben,mourir
3983,BasicVerbs,send,senden,envoyer
3991,BasicVerbs,expect,erwarten von,attendre
3999,BasicVerbs,build,bauen,construire
4007,BasicVerbs,stay,bleibe,rester
4015,BasicVerbs,fall,Fall,tomber
4023,BasicVerbs,cut,schneiden,Coupe
4031,BasicVerbs,reach,erreichen,atteindre
4039,BasicVerbs,kill,töten,tuer
4047,BasicVerbs,remain,bleiben übrig,rester
4048,People,Father,Vater,Père
4049,5. Useful Words and General Vocabulary,delay,--,retard
4050,5. Useful Words and General Vocabulary,except,--,sauf
4051,5. Useful Words and General Vocabulary,quite a few,--,pas mal
4052,5. Useful Words and General Vocabulary,dog,--,chien
4053,5. Useful Words and General Vocabulary,often,--,souvent
4054,5. Useful Words and General Vocabulary,and,--,et
4055,5. Useful Words and General Vocabulary,that is,--,c'est
4056,5. Useful Words and General Vocabulary,not bad,--,pas mal
4057,5. Useful Words and General Vocabulary,yet,--,encore
4058,5. Useful Words and General Vocabulary,paper,--,papier
4059,5. Useful Words and General Vocabulary,daughter,--,fille
4060,5. Useful Words and General Vocabulary,woman,--,femme
4061,5. Useful Words and General Vocabulary,still,--,encore
4062,5. Useful Words and General Vocabulary,there are,--,il y a
4063,5. Useful Words and General Vocabulary,now,--,maintenant
4064,5. Useful Words and General Vocabulary,there is,--,il y a
4065,5. Useful Words and General Vocabulary,most of all,--,surtout
4066,5. Useful Words and General Vocabulary,pen,--,stylo
4067,5. Useful Words and General Vocabulary,almost,--,presque
4068,5. Useful Words and General Vocabulary,pencil,--,crayon
4069,5. Useful Words and General Vocabulary,pound,--,livre
4070,5. Useful Words and General Vocabulary,hound,--,chien
4071,5. Useful Words and General Vocabulary,also,--,aussi
4072,5. Useful Words and General Vocabulary,but,--,mais
4073,5. Useful Words and General Vocabulary,right now,--,maintenant
4074,5. Useful Words and General Vocabulary,again,--,encore
4075,5. Useful Words and General Vocabulary,always,--,toujours
4076,5. Useful Words and General Vocabulary,too,--,aussi
4077,5. Useful Words and General Vocabulary,book,--,livre
4078,5. Useful Words and General Vocabulary,man,--,homme
4079,5. Useful Words and General Vocabulary,nearly,--,presque
4080,5. Useful Words and General Vocabulary,usually,--,d'habitude
4081,5. Useful Words and General Vocabulary,friend,--,ami
4082,5. Useful Words and General Vocabulary,wife,--,femme
4083,5. Useful Words and General Vocabulary,crayon,--,crayon
4084,DaysOfWeek,day,Tag,journée
4093,DaysOfWeek,week,Woche,semaine
4102,DaysOfWeek,today,heute,aujourd'hui
4111,DaysOfWeek,yesterday,gestern,hier
4120,DaysOfWeek,tomorrow,Morgen,demain
4121,Months,month,Monat,mois
4122,TimeClock,PM,PM,PM
4129,TimeClock,afternoon,Nachmittag,après midi
4152,TimeClock,AM,A.m.,un m.
4161,Prepositions,more,Mehr,plus
4170,Prepositions,about to,dabei,sur le point d
4179,Prepositions,ace,As,as
4188,Prepositions,about,etwa,sur
4197,Prepositions,above,über,au dessus de
4206,Prepositions,across,über,à travers
4215,Prepositions,after,nach,après
4224,Prepositions,against,gegen,contre
4233,Prepositions,among,unter,parmi
4242,Prepositions,around,um,autour
4251,Prepositions,as,wie,comme
4260,Prepositions,at,beim,à
4269,Prepositions,before,Vor,avant
4278,Prepositions,behind,hinter,derrière
4287,Prepositions,below,unten,au dessous de
4296,Prepositions,beside,neben,à côté de
4305,Prepositions,between,zwischen,entre
4314,Prepositions,but,aber,mais
4323,Prepositions,by,durch,par
4332,Prepositions,despite,Trotz,malgré
4341,Prepositions,down,Unten,vers le bas
4350,Prepositions,during,während,pendant
4359,Prepositions,except,außer,sauf
4368,Prepositions,for,für,pour
4377,Prepositions,from,von,de
4386,Prepositions,in,im,dans
4395,Prepositions,inside,innen,à l'intérieur
4404,Prepositions,near,in der Nähe von,près
4413,Prepositions,next,Nächster,prochain
4422,Prepositions,of,von,de
4431,Prepositions,on,auf,sur
4440,Prepositions,opposite,Gegenteil,contraire
4449,Prepositions,out,aus,en dehors
4458,Prepositions,outside,draußen,à l'extérieur
4467,Prepositions,over,zu Ende,plus de
4476,Prepositions,per,pro,par
4485,Prepositions,plus,Plus,plus
4494,Prepositions,round,runden,rond
4503,Prepositions,since,schon seit,depuis
4512,Prepositions,than,als,que
4521,Prepositions,through,durch,par
4530,Prepositions,till,bis,Jusqu'à
4539,Prepositions,to,nach,à
4548,Prepositions,toward,zu,vers
4557,Prepositions,under,unter,en dessous de
4566,Prepositions,until,bis,jusqu'à
4575,Prepositions,up,oben,Up
4584,Prepositions,via,über,via
4593,Prepositions,with,mit,avec
4602,Prepositions,within,innerhalb,dans
4611,Prepositions,without,ohne,sans pour autant
4620,Prepositions,according to,gemäß,selon
4629,Prepositions,because of,durch,en raison de
4638,Prepositions,due to,wegen,à cause de
4647,Prepositions,next to,neben an,à côté de
4656,Prepositions,as well as,ebenso gut wie,aussi bien que
4665,Prepositions,in front of,vor,en face de
4674,Prepositions,in spite of,edo bulguhago,nesmotrya na
4683,Prepositions,on behalf of,im Auftrag von,de la part de
4692,Demonstrative Pronoun,this,--,NULL
4693,Demonstrative Pronoun,that,--,NULL
4694,Demonstrative Pronoun,these,--,NULL
4695,13. Directions,east,Osten,est
4704,13. Directions,west,West-,Ouest
4713,13. Directions,north,Norden,Nord
4722,13. Directions,south,Süd,Sud
4731,13. Directions,right,Recht,droite
4740,13. Directions,left,links,à gauche
4749,13. Directions,front,Vorderseite,avant
4758,13. Directions,back,Zurück,arrière
4767,13. Directions,side,Seite,côté
4776,13. Directions,up,oben,Up
4785,13. Directions,down,Unten,vers le bas
4794,13. Directions,below,unten,au dessous de
4803,12. Seasons,summer,--,été
4811,12. Seasons,fall,--,tomber
4819,12. Seasons,winter,--,hiver
4827,12. Seasons,autumn,--,l'automne
4835,12. Seasons,spring,--,printemps
4843,14. Colors and Shapes,red,rot,rouge
4845,14. Colors and Shapes,orange,Orange,NULL
4851,14. Colors and Shapes,yellow,Gelb,NULL
4857,14. Colors and Shapes,green,Grün,NULL
4863,14. Colors and Shapes,blue,blau,NULL
4869,14. Colors and Shapes,purple,lila,NULL
4875,14. Colors and Shapes,white,Weiß,NULL
4881,14. Colors and Shapes,pink,Rosa,NULL
4887,14. Colors and Shapes,gold,Gold,NULL
4893,14. Colors and Shapes,silver,Silber-,NULL
4899,14. Colors and Shapes,square,Platz,NULL
4905,14. Colors and Shapes,circle,Kreis,NULL
4911,14. Colors and Shapes,triangle,Dreieck,NULL
4917,14. Colors and Shapes,rectangle,Rechteck,NULL
4923,14. Colors and Shapes,cube,Würfel,NULL
4929,14. Colors and Shapes,sphere,Kugel,NULL
4935,14. Colors and Shapes,cone,Kegel,NULL
4941,14. Colors and Shapes,box,Box,NULL
4947,14. Colors and Shapes,color,Farbe,Couleur
4962,Numbers,fifteen,fünfzehn,quinze
4986,Study Subjects,algebra,--,algèbre
4994,Study Subjects,calculus,--,calcul
5002,Study Subjects,geometry,--,géométrie
5010,Study Subjects,economics,--,économie
5018,Study Subjects,linguistics,--,linguistique
5026,Study Subjects,literature,--,Littérature
5034,Study Subjects,philosophy,--,philosophie
5042,Study Subjects,psychology,--,psychologie
5050,Study Subjects,political science,--,science politique
5058,Study Subjects,history,--,histoire
5066,Study Subjects,geography,--,géographie
5074,Study Subjects,physics,--,la physique
5082,Study Subjects,biology,--,NULL
5090,Study Subjects,chemistry,--,chimie
5098,Study Subjects,zoology,--,zoologie
5106,Study Subjects,botany,--,botanique
5114,Study Subjects,art,--,art
5122,Study Subjects,music,--,la musique
5130,Study Subjects,dance,--,danse
5138,Study Subjects,drawing,--,dessin
5146,Study Subjects,painting,--,peinture
5154,Study Subjects,technology,--,la technologie
5162,Study Subjects,physical education,--,éducation physique
